AgeGroup,Metric,Layer,Beta_Age,p_Age,Beta_logVol,p_logVol,p_Age_FDR,p_logVol_FDR
<50,g_ratio,Outer5,-0.6916805088202662,0.056058016609068825,0.03555618258063933,0.8097983153205902,0.14715229359880566,0.8950402432490734
>=50,MT,Center,-0.3228477346195406,0.34976887404394263,-0.12014054292607787,0.6090283615053919,0.5139461006359973,0.6746160312059725
>=50,MT,Inner2,0.052891711524597144,0.8032585673618479,0.30765258469966444,0.007269928745828826,0.8777206466493306,0.017447828989989183
>=50,MT,Inner1,-0.2034241672004123,0.21872737001958867,0.22550344269250958,0.0031772445110904417,0.35483591601979625,0.008798523261481223
>=50,MT,Outer1,-0.6276205504451042,0.0005116293881684966,0.4176058979413793,6.68381216820166e-07,0.0016016224325274676,6.874778230150279e-06
>=50,MT,Outer2,-0.971940672633916,1.4164433147079913e-07,0.39590471103115665,2.504800089931186e-06,1.2747989832371922e-06,1.8034560647504537e-05
>=50,MT,Outer3,-1.1007465065662092,1.3296749763838613e-09,0.19994060233260016,0.012761054825572932,3.1912199433212674e-08,0.027023410218860327
>=50,MT,Outer4,-1.1562373491702291,5.525381317306269e-11,0.05188092156749178,0.4999960441854664,1.989137274230257e-09,0.5901592652680915
>=50,MT,Outer5,-1.1578225950843073,1.2850949925764616e-11,-0.04037851337484063,0.5869175375068321,9.252683946550524e-10,0.6602822296951861
>=50,R1,Center,-0.11655024194028761,0.7321374466200237,-0.4140227276306058,0.07656025871396321,0.8696850690712601,0.11983344842185548
>=50,R1,Inner2,0.03704759570364794,0.8700172792133405,0.10682411926745056,0.37833530749218514,0.8970949191266363,0.46965762309374703
>=50,R1,Inner1,-0.26095061635211064,0.14848142400429018,0.03343806532988874,0.6855905792647947,0.24862005879788124,0.742285468950909
>=50,R1,Outer1,-0.5789047279303362,0.0016167953131730765,0.2965790945521948,0.000441041820262349,0.004477279328786981,0.0015877505529444565
>=50,R1,Outer2,-0.9019614082664715,1.9499522552068566e-06,0.3055206231371798,0.00037398610137739826,1.0799735567299513e-05,0.0014262537611852233
>=50,R1,Outer3,-1.0059164693795914,9.07638152222595e-08,0.11203334116889448,0.18035840289491548,9.335706708575263e-07,0.24501518883837572
>=50,R1,Outer4,-1.0480455528425807,1.977879303915533e-08,-0.032041776953713776,0.6977410667353015,2.8481461976383673e-07,0.742285468950909
>=50,R1,Outer5,-1.0575078728189449,8.117477181079192e-09,-0.11410532873876374,0.15921806551009268,1.4611458925942547e-07,0.2247784454260132
>=50,R2s,Center,-0.22175667316961567,0.5103936718850851,-0.4908578139311348,0.034290887518045016,0.6946480845617244,0.0612178105853038
>=50,R2s,Inner2,0.08779806009023747,0.7000359082189187,-0.04681325083148538,0.7010473873425251,0.8690100929614163,0.742285468950909
>=50,R2s,Inner1,-0.08531018470396652,0.6054534697862815,-0.31421066677033643,4.63310716388236e-05,0.7784401754395047,0.00023827408271394994
