Metric,Layer,Beta_Age_raw,PctChangePerDecade,p_Age_raw,R2_full,R2_AgeOnly,R2_VolOnly,PartialR2_Age,PartialR2_Vol,p_Age_FDR,Group,GroupCombined
OD,Center,-0.0002722598140340065,-1.597518601119967,0.7841701990040941,0.09346052304244601,0.015493998416980626,0.09276987276842819,0.0007612735217748494,0.07919354935378806,0.8302978577690409,Axon-sensitive,Axon-sensitive
OD,Inner2,0.0004180864729945031,2.271635025321923,0.17354882852893905,0.018453786117806792,3.087570574178411e-05,0.01060391863007104,0.007933998967194954,0.01842347924998907,0.21543992507040707,Axon-sensitive,Axon-sensitive
OD,Inner1,0.0005364736290970341,2.6058207171046246,0.03299436337745861,0.019673720311972454,0.00020145336804977543,0.005580857089460656,0.014171954877360633,0.019476190488093282,0.0484815135342249,Axon-sensitive,Axon-sensitive
OD,Outer1,0.0005415125716970843,2.650747895333372,0.00963007659697529,0.020874360891516952,0.0069043063050330256,5.2770821853176386e-05,0.020822688900070226,0.014067178697056038,0.015758307158686837,Axon-sensitive,Axon-sensitive
OD,Outer2,0.0004338414123227117,2.11434694304429,0.013676010676183499,0.03189083942874471,0.03053368432230652,0.013234260461191916,0.01890679643607454,0.0013998991862749638,0.0218816170818936,Axon-sensitive,Axon-sensitive
OD,Outer3,0.00030062866171409497,1.4517510318004132,0.0397475165934312,0.08838957210213472,0.08151337760248523,0.07620572604288711,0.013188917059485085,0.007486439466805343,0.05723642389454092,Axon-sensitive,Axon-sensitive
OD,Outer4,0.000220766492200176,1.0386653289890613,0.07866771264605392,0.16727886440711426,0.13682154195595297,0.15915489096582125,0.009661676513317015,0.035285081743324835,0.10686934548143173,Axon-sensitive,Axon-sensitive
OD,Outer5,0.0001612952049860142,0.7376343022070531,0.1460323575798017,0.21476045776570196,0.1642385008274292,0.20953316558038826,0.006612917781872231,0.06045020856822316,0.18446192536396006,Axon-sensitive,Axon-sensitive
MD,Center,-4.103471070453527e-07,-0.31467453306346455,0.8252701840415344,0.0979216686128892,0.00675175649319959,0.09747519410053307,0.000494695003879888,0.09178965350877603,0.8611514963911663,Fluid-sensitive,Fluid/Composite
MD,Inner2,-2.185424418390338e-07,-0.1766838577950747,0.7038971425596656,0.09217006553172113,0.03582085209532393,0.09160586793352488,0.0006210933979866038,0.058442680033947585,0.7797014502199373,Fluid-sensitive,Fluid/Composite
MD,Inner1,1.539705311448004e-06,1.3163538369198713,0.0014413347386752213,0.14069420851813297,0.13502359016074106,0.1128628994024542,0.031372049592935,0.006555806947897802,0.0028047594914761068,Fluid-sensitive,Fluid/Composite
MD,Outer1,1.4192673444302324e-06,1.3854092204875261,3.806566387067456e-05,0.053685588207383006,0.011149248127634515,0.0019121985839363198,0.051872580298037714,0.043015935417156675,8.564774370901777e-05,Fluid-sensitive,Fluid/Composite
MD,Outer2,1.5124744116531896e-06,1.617444552660814,2.6410584113781033e-08,0.12641021124909757,0.0010047310090680606,0.03724502741956548,0.09261461780929174,0.1255316057369315,1.0008221348380181e-07,Fluid-sensitive,Fluid/Composite
